,compound_id,exactmw,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeavyAtoms,NumAtoms,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR,chi0v,chi1v,chi2v,chi3v,chi4v,chi0n,chi1n,chi2n,chi3n,chi4n,hallKierAlpha,kappa1,kappa2,kappa3,Phi,compound_toxicity
0,compound-1,88.052429496,88.106,2.0,0.0,1.0,0.0,2.0,6.0,14.0,2.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.10914470057002,26.3,0.5694,22.30699999999999,4.023603362114274,1.9040302062452235,0.3476006996936919,0.3476006996936919,0.20326313239628543,4.023603362114274,1.9040302062452235,0.3476006996936919,0.3476006996936919,0.20326313239628543,-0.53,5.469999999999999,2.693713646532438,3.4699999999999998,2.455768941088739,2.583
1,compound-2,121.052763844,121.13899999999995,2.0,2.0,1.0,1.0,1.0,9.0,16.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.29775803095004,43.09,0.7855000000000001,34.95990000000001,4.872349905601618,2.653482882349704,1.0583068652130645,1.0583068652130645,0.6024192791615889,4.872349905601618,2.653482882349704,1.0583068652130645,1.0583068652130645,0.6024192791615889,-1.31,5.820039011703511,2.306763635550358,1.2877050319358112,1.491717149964678,2.263
2,compound-3,142.135765196,142.24200000000002,1.0,0.0,6.0,0.0,1.0,10.0,28.0,1.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.82031004304619,17.07,2.935900000000001,44.057000000000016,7.150888977583149,4.3254444887915735,1.6183377076050263,1.6183377076050263,0.8728909578906802,7.150888977583149,4.3254444887915735,1.6183377076050263,1.6183377076050263,0.8728909578906802,-0.33,9.67,6.785340253748558,5.8003780964797915,6.561424025374855,3.662
3,compound-4,150.06807956,150.177,2.0,0.0,3.0,0.0,2.0,11.0,21.0,2.0,0.0,0.2222222222222222,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.80129679223742,26.3,1.8978,42.99850000000002,6.410354708062403,3.5456506610495393,1.3271866967962747,1.3271866967962747,0.8092867591133446,6.410354708062403,3.5456506610495393,1.3271866967962747,1.3271866967962747,0.8092867591133446,-1.31,7.793199174406604,3.7604813030666033,2.075224641853074,2.6641981624027387,3.728
4,compound-5,126.104465068,126.19900000000001,1.0,1.0,4.0,1.0,1.0,9.0,23.0,1.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,57.08730497266109,20.23,1.5608,38.98180000000001,5.9303412586254005,3.4509042305871973,1.273501277443943,1.273501277443943,0.671020066164233,5.9303412586254005,3.4509042305871973,1.273501277443943,1.273501277443943,0.671020066164233,-0.48,8.52,5.652978723404255,5.390149422259023,5.351486524822694,5.485
5,compound-6,131.073499288,131.178,1.0,1.0,0.0,1.0,0.0,10.0,19.0,1.0,0.0,0.1111111111111111,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.68717018664309,15.79,2.4763200000000003,43.03570000000001,5.88675134594813,3.4047005383792524,1.7960823706613525,1.7960823706613525,1.21660415032336,5.88675134594813,3.4047005383792524,1.7960823706613525,1.7960823706613525,1.21660415032336,-1.2399999999999998,5.537680730986294,1.8729157652785289,0.6372736985192828,1.0371609544143356,4.171
6,compound-7,157.146664228,157.25699999999998,2.0,0.0,7.0,0.0,1.0,11.0,30.0,2.0,1.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.58014371324954,20.310000000000002,2.045,47.453000000000024,7.675452842272733,4.540570244549448,1.7468324014673702,1.7468324014673702,0.9396214038158075,7.675452842272733,4.540570244549448,1.7468324014673702,1.7468324014673702,0.9396214038158075,-0.53,10.47,7.575596620908132,5.892386483632524,7.2105906019007415,3.246
7,compound-8,97.969005488,98.96000000000001,0.0,0.0,1.0,0.0,0.0,4.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71072559598951,0.0,1.464,21.439999999999994,3.682000400428458,2.1035674514745457,0.6428571428571428,0.6428571428571428,0.0,2.1701425083915495,1.0345224838248486,0.07142857142857141,0.07142857142857141,0.0,0.58,4.58,3.5799999999999996,2.58,4.0991,2.863
8,compound-9,214.998535352,215.59199999999998,5.0,0.0,2.0,0.0,4.0,14.0,20.0,6.0,0.0,0.125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.39259662722229,69.44,2.0348,49.44590000000001,7.94615098395197,3.9602323315742427,1.7968810343411907,1.7968810343411907,1.1047594541065535,7.190222037933515,3.5822678585650154,1.5617839315534523,1.5617839315534523,0.9384158990652575,-1.6199999999999999,10.460775444264945,4.059171726294129,1.9979638612098252,3.0330059941765835,3.891
9,compound-10,198.963275912,200.035,2.0,2.0,1.0,1.0,1.0,10.0,16.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.16530563659141,43.09,1.548,42.65990000000001,6.758960648535925,3.5461469909346284,1.6023869500837877,1.6023869500837877,1.040985384020754,5.17296410942122,2.7531487213772765,1.1091353113667481,1.1091353113667481,0.6417469765302858,-0.8300000000000001,7.279051254089422,2.8358235933154585,1.5736854658634327,2.0642105283299257,3.334
10,compound-11,171.96361026,173.01300000000003,2.0,2.0,0.0,1.0,2.0,8.0,13.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.85848940309756,38.91,1.4263,36.3494,5.720575684382393,2.9518200652716904,1.2193486542725145,1.2193486542725145,0.6217990958335826,4.134579145267688,2.1588217957143385,0.7502646249822689,0.7502646249822689,0.3872570811884597,-0.5700000000000001,5.564589502018842,2.1320002271579725,1.1983505969644046,1.4829632602931302,2.99
